               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.041329,            0.068622,           0.0075972,              0.6717,             0.43514,             0.46806,             0.23371,            0.038339,            0.068695,           0.0062937,           0.0083684,           0.0083684,           0.0083684
                  86,            0.041217,            0.068417,           0.0075639,              0.6808,             0.42967,             0.46836,             0.23399,            0.038329,            0.068687,           0.0062885,           0.0083319,           0.0083319,           0.0083319
                  87,            0.041286,            0.068398,           0.0075708,             0.67993,             0.43078,              0.4688,             0.23428,             0.03832,            0.068677,           0.0062854,           0.0082952,           0.0082952,           0.0082952
                  88,             0.04123,             0.06845,           0.0075862,             0.67891,             0.43014,             0.46891,             0.23479,            0.038311,            0.068675,           0.0062827,           0.0082581,           0.0082581,           0.0082581
                  89,            0.041225,             0.06846,            0.007569,              0.6709,              0.4352,             0.46942,             0.23487,            0.038303,            0.068669,           0.0062796,           0.0082207,           0.0082207,           0.0082207
                  90,             0.04128,            0.068639,           0.0075595,             0.69608,             0.42487,             0.46987,             0.23501,            0.038297,            0.068657,           0.0062771,            0.008183,            0.008183,            0.008183
                  91,             0.04125,            0.068532,           0.0075472,             0.68339,             0.43084,             0.46962,             0.23496,            0.038291,            0.068656,           0.0062743,            0.008145,            0.008145,            0.008145
                  92,            0.041214,            0.068422,           0.0075929,             0.67899,             0.43301,             0.47044,             0.23545,            0.038285,            0.068656,           0.0062695,           0.0081068,           0.0081068,           0.0081068
                  93,            0.041171,            0.068565,           0.0075258,             0.67674,             0.43424,              0.4704,             0.23551,            0.038279,            0.068654,           0.0062663,           0.0080682,           0.0080682,           0.0080682
                  94,            0.041171,            0.068416,           0.0075192,             0.69257,             0.42757,              0.4707,             0.23558,            0.038275,            0.068644,           0.0062626,           0.0080294,           0.0080294,           0.0080294
                  95,             0.04115,            0.068535,           0.0075305,             0.68832,             0.42996,             0.47052,              0.2357,            0.038267,            0.068637,           0.0062591,           0.0079903,           0.0079903,           0.0079903
                  96,            0.041157,            0.068344,           0.0075317,              0.6869,              0.4317,             0.47069,              0.2355,            0.038259,            0.068631,           0.0062562,           0.0079509,           0.0079509,           0.0079509
                  97,            0.041113,            0.068121,           0.0075007,             0.68705,             0.43125,             0.47078,             0.23562,            0.038254,            0.068628,           0.0062541,           0.0079112,           0.0079112,           0.0079112
                  98,            0.041051,            0.068157,           0.0075065,             0.67626,             0.43561,             0.47041,             0.23571,             0.03825,            0.068623,           0.0062505,           0.0078713,           0.0078713,           0.0078713
                  99,            0.041072,             0.06842,           0.0075135,             0.67832,             0.43496,             0.47149,             0.23581,            0.038245,            0.068615,           0.0062474,           0.0078311,           0.0078311,           0.0078311
                 100,            0.041083,            0.068143,           0.0074915,             0.66988,             0.43871,             0.47097,             0.23592,            0.038245,            0.068603,           0.0062462,           0.0077907,           0.0077907,           0.0077907
                 101,            0.041051,            0.068306,           0.0074896,             0.67232,               0.438,             0.47078,             0.23576,             0.03824,            0.068594,           0.0062426,             0.00775,             0.00775,             0.00775
                 102,            0.041069,            0.068253,           0.0075264,             0.68191,             0.43421,              0.4711,             0.23576,            0.038234,            0.068588,           0.0062392,           0.0077091,           0.0077091,           0.0077091
                 103,            0.040992,            0.067871,           0.0074425,             0.68075,             0.43314,             0.47064,             0.23595,            0.038229,            0.068581,            0.006239,           0.0076679,           0.0076679,           0.0076679
                 104,            0.041013,            0.068196,           0.0074134,             0.67833,             0.43449,             0.47022,              0.2361,            0.038226,            0.068583,           0.0062371,           0.0076265,           0.0076265,           0.0076265
