,Unnamed: 0,time,latitude,longitude,speed,original_file,image_file,obj_class_name,obj_class,x,y,w,h,confidences,date,month,day of week,box area,is_on_bus_line,should_keep
288647,409946,2021-11-19 03:24:47,37.86826944444445,-122.263425,24.1401,GRMN_Bancroft_1698.MP4,GRMN_Bancroft_1698_1740.jpg,bus,1,0.2307291626930236,0.5754629373550415,0.15625,0.1657407432794571,0.872382402420044,2021-11-19 03:24:47,11,4,0.02589699113741517,False,True
288810,410287,2021-11-19 03:25:20,37.867891666666665,-122.26594444444444,17.7027,GRMN_Bancroft_1699.MP4,GRMN_Bancroft_1699_952.jpg,bus,1,0.9565104246139526,0.5356481671333313,0.0869791656732559,0.2490740716457367,0.8942770957946777,2021-11-19 03:25:20,11,4,0.021664254942586943,False,True
288978,410538,2021-11-19 03:25:38,37.86770277777778,-122.267175,12.8747,GRMN_Bancroft_1699.MP4,GRMN_Bancroft_1699_1482.jpg,bus,1,0.4057291746139526,0.4995370507240295,0.0416666679084301,0.0657407417893409,0.8761727213859558,2021-11-19 03:25:38,11,4,0.00273919765619032,False,True
289014,410626,2021-11-19 03:25:43,37.86768611111111,-122.26736944444444,11.2654,GRMN_Bancroft_1699.MP4,GRMN_Bancroft_1699_1632.jpg,bus,1,0.3546875119209289,0.5476852059364319,0.0979166701436042,0.1324074119329452,0.8582673072814941,2021-11-19 03:25:43,11,4,0.012964892878806518,False,True
291480,413754,2021-11-19 15:13:35,37.868833333333335,-122.25449166666668,25.7494,GRMN_Bancroft_1701.MP4,GRMN_Bancroft_1701_147.jpg,amazon_truck,6,0.3309895694255829,0.4759259223937988,0.116145834326744,0.2055555582046508,0.88264399766922,2021-11-19 15:13:35,11,4,0.023874421808178753,False,True
291504,413807,2021-11-19 15:13:36,37.86889722222222,-122.2545,24.1401,GRMN_Bancroft_1701.MP4,GRMN_Bancroft_1701_179.jpg,bus,1,0.2135416716337204,0.4935185313224792,0.2166666686534881,0.3296296298503876,0.8953775763511658,2021-11-19 15:13:36,11,4,0.07141975378916586,False,True
291542,413891,2021-11-19 15:14:03,37.869213888888886,-122.25545277777778,11.2654,GRMN_Bancroft_1701.MP4,GRMN_Bancroft_1701_975.jpg,fedex_truck,4,0.07421875,0.5356481671333313,0.147395834326744,0.4138889014720917,0.8833042979240417,2021-11-19 15:14:03,11,4,0.061005499951058494,False,True
291578,413986,2021-11-19 15:14:49,37.86893333333333,-122.25769166666667,25.7494,GRMN_Bancroft_1702.MP4,GRMN_Bancroft_1702_563.jpg,amazon_truck,6,0.8179687261581421,0.5504629611968994,0.3578124940395355,0.7027778029441833,0.8652531504631042,2021-11-19 15:14:49,11,4,0.2514626784270835,False,True
296471,422227,2021-11-19 15:21:41,37.86861111111112,-122.2599,14.4841,GRMN_Bancroft_1709.MP4,GRMN_Bancroft_1709_273.jpg,amazon_truck,6,0.1781249940395355,0.5134259462356567,0.356249988079071,0.4601851999759674,0.887814462184906,2021-11-19 15:21:41,11,4,0.16394097200560329,False,True
296739,422628,2021-11-19 15:21:52,37.86850833333333,-122.260725,27.3588,GRMN_Bancroft_1709.MP4,GRMN_Bancroft_1709_600.jpg,bus,1,0.546093761920929,0.4759259223937988,0.077604167163372,0.1555555611848831,0.8963333964347839,2021-11-19 15:21:52,11,4,0.012071759773383808,False,True
296805,422747,2021-11-19 15:21:56,37.86846944444444,-122.26111388888889,27.3588,GRMN_Bancroft_1709.MP4,GRMN_Bancroft_1709_737.jpg,bus,1,0.9104166626930236,0.5555555820465088,0.1760416626930236,0.7185184955596924,0.8810080289840698,2021-11-19 15:21:56,11,4,0.12648919063401814,False,True
296554,422336,2021-11-19 15:21:43,37.86858888888889,-122.26005277777776,22.5308,GRMN_Bancroft_1709.MP4,GRMN_Bancroft_1709_350.jpg,ups_truck,5,0.2067708373069763,0.5032407641410828,0.3927083313465118,0.5138888955116272,0.8754854202270508,2021-11-19 15:21:43,11,4,0.20180845065387307,False,True
296644,422519,2021-11-19 15:21:48,37.868544444444446,-122.26039722222222,17.7027,GRMN_Bancroft_1709.MP4,GRMN_Bancroft_1709_488.jpg,ups_truck,5,0.0726562514901161,0.5287036895751953,0.1453125029802322,0.479629635810852,0.8628911972045898,2021-11-19 15:21:48,11,4,0.06969618288317211,False,True
296775,422698,2021-11-19 15:21:54,37.86848888888889,-122.26092777777778,28.9681,GRMN_Bancroft_1709.MP4,GRMN_Bancroft_1709_664.jpg,ups_truck,5,0.6403645873069763,0.4685185253620147,0.1973958313465118,0.3888888955116272,0.8877078890800476,2021-11-19 15:21:54,11,4,0.07676504683094441,True,True
297093,423449,2021-11-19 15:42:49,37.86665277777778,-122.25408333333333,9.656,GRMN_Bancroft_1711.MP4,GRMN_Bancroft_1711_505.jpg,bus,1,0.3872395753860473,0.5217592716217041,0.2078125029802322,0.3101851940155029,0.8706874251365662,2021-11-19 15:42:49,11,4,0.0644603615557706,False,True
297355,424327,2021-11-19 15:45:04,37.868925,-122.25786666666669,20.9214,GRMN_Bancroft_1713.MP4,GRMN_Bancroft_1713_930.jpg,amazon_truck,6,0.8372395634651184,0.5291666388511658,0.3192708194255829,0.7509258985519409,0.8741347789764404,2021-11-19 15:45:04,11,4,0.2397487269585703,False,True
297735,424871,2021-11-19 15:45:23,37.868775,-122.25906666666668,6.4374,GRMN_Bancroft_1713.MP4,GRMN_Bancroft_1713_1504.jpg,bus,1,0.4721354246139526,0.479629635810852,0.0401041656732559,0.0814814791083335,0.8867406845092773,2021-11-19 15:45:23,11,4,0.003267746737462546,False,True
299345,427096,2021-11-19 15:49:50,37.86868055555556,-122.25983055555557,12.8747,GRMN_Bancroft_1718.MP4,GRMN_Bancroft_1718_529.jpg,amazon_truck,6,0.8380208611488342,0.5736111402511597,0.3197916746139526,0.6064814925193787,0.935631275177002,2021-11-19 15:49:50,11,4,0.19394773211514146,True,True
299980,428151,2021-11-19 15:50:31,37.868272222222224,-122.26337777777778,22.5308,GRMN_Bancroft_1718.MP4,GRMN_Bancroft_1718_1798.jpg,bus,1,0.4822916686534881,0.4726851880550384,0.0375000014901161,0.0842592567205429,0.8810660243034363,2021-11-19 15:50:31,11,4,0.0031597222525764335,False,True
300222,428393,2021-11-19 15:50:42,37.86810277777778,-122.26414166666666,30.5775,GRMN_Bancroft_1719.MP4,GRMN_Bancroft_1719_240.jpg,bus,1,0.8828125,0.4893518388271332,0.2312500029802322,0.8194444179534912,0.9317664504051208,2021-11-19 15:50:42,11,4,0.1894965240938795,False,True
300869,429352,2021-10-05 01:25:18,37.86880833333333,-122.2587861111111,12.8747,GRMN_Bancroft_172.MP4,GRMN_Bancroft_172_1200.jpg,bus,1,0.5174478888511658,0.5648148059844971,0.0276041664183139,0.0611111111938953,0.8594349026679993,2021-10-05 01:25:18,10,1,0.0016869212834043712,False,True
301518,430198,2021-11-19 16:16:45,37.86924444444445,-122.25472777777776,8.0467,GRMN_Bancroft_1722.MP4,GRMN_Bancroft_1722_318.jpg,bus,1,0.0630208328366279,0.4842592477798462,0.0572916679084301,0.1462962925434112,0.8681979179382324,2021-11-19 16:16:45,11,4,0.008381558608631653,False,True
301495,430170,2021-11-19 16:16:45,37.86924444444445,-122.25472777777776,8.0467,GRMN_Bancroft_1722.MP4,GRMN_Bancroft_1722_300.jpg,fedex_truck,4,0.766406238079071,0.4648148119449615,0.4609375,0.8277778029441833,0.9025656580924988,2021-11-19 16:16:45,11,4,0.3815538310445845,False,True
301650,430755,2021-11-19 16:17:51,37.86888888888889,-122.25786944444444,19.3121,GRMN_Bancroft_1723.MP4,GRMN_Bancroft_1723_484.jpg,amazon_truck,6,0.8309895992279053,0.5597222447395325,0.332812488079071,0.6601851582527161,0.910295844078064,2021-11-19 16:17:51,11,4,0.21971786511096167,False,True
302161,431380,2021-11-19 16:18:06,37.86879444444445,-122.25877222222222,17.7027,GRMN_Bancroft_1723.MP4,GRMN_Bancroft_1723_930.jpg,bus,1,0.8942708373069763,0.4634259343147278,0.2093749940395355,0.9268518686294556,0.9077796936035156,2021-11-19 16:18:06,11,4,0.1940596044698246,False,True
302232,431750,2021-11-19 16:19:14,37.86863888888889,-122.25994722222222,11.2654,GRMN_Bancroft_1724.MP4,GRMN_Bancroft_1724_1189.jpg,amazon_truck,6,0.8510416746139526,0.581944465637207,0.2979166805744171,0.6009259223937988,0.910353422164917,2021-11-19 16:19:14,11,4,0.17902585607068033,True,True
303298,433158,2021-11-19 16:22:21,37.86836666666667,-122.26203055555555,22.5308,GRMN_Bancroft_1727.MP4,GRMN_Bancroft_1727_1381.jpg,bus,1,0.836718738079071,0.5560185313224792,0.3244791626930237,0.6805555820465088,0.9149365425109864,2021-11-19 16:22:21,11,4,0.22082610542851455,False,True
303490,433784,2021-11-19 16:46:49,37.86729722222222,-122.25419166666669,27.3588,GRMN_Bancroft_1729.MP4,GRMN_Bancroft_1729_369.jpg,amazon_truck,6,0.858593761920929,0.5694444179534912,0.2817708253860473,0.6277777552604675,0.8874095678329468,2021-11-19 16:46:49,11,4,0.17688945625874195,False,True
303951,434552,2021-11-19 16:48:07,37.86929722222222,-122.25467777777776,12.8747,GRMN_Bancroft_1730.MP4,GRMN_Bancroft_1730_910.jpg,fedex_truck,4,0.6723958253860474,0.4648148119449615,0.6479166746139526,0.8407407402992249,0.8635273575782776,2021-11-19 16:48:07,11,4,0.5447299446671465,False,True
304957,436167,2021-11-19 16:51:11,37.86891111111111,-122.25783333333334,20.9214,GRMN_Bancroft_1733.MP4,GRMN_Bancroft_1733_1039.jpg,amazon_truck,6,0.805468738079071,0.5620370507240295,0.3838541805744171,0.644444465637207,0.9498881697654724,2021-11-19 16:51:11,11,4,0.2473727022828882,False,True
307714,440045,2021-11-19 16:53:59,37.86855833333333,-122.2607,14.4841,GRMN_Bancroft_1736.MP4,GRMN_Bancroft_1736_686.jpg,bus,1,0.54296875,0.4782407283782959,0.0994791686534881,0.186111107468605,0.9104275107383728,2021-11-19 16:53:59,11,4,0.018514178248156807,False,True
307511,439759,2021-11-19 16:53:53,37.86859444444445,-122.26038888888888,16.0934,GRMN_Bancroft_1736.MP4,GRMN_Bancroft_1736_491.jpg,fedex_truck,4,0.8684895634651184,0.4875000119209289,0.2598958313465118,0.824999988079071,0.8738721013069153,2021-11-19 16:53:53,11,4,0.21441405776267247,True,True
307792,440175,2021-11-19 16:54:04,37.86850555555556,-122.26099166666668,17.7027,GRMN_Bancroft_1736.MP4,GRMN_Bancroft_1736_826.jpg,fedex_truck,4,0.839062511920929,0.4462963044643402,0.3187499940395355,0.885185182094574,0.8635639548301697,2021-11-19 16:54:04,11,4,0.2821527715165306,True,True
