               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/car_mAP_50,  metrics/bus_mAP_50,metrics/other_truck_mAP_50,metrics/uhaul_truck_mAP_50,metrics/fedex_truck_mAP_50,metrics/ups_truck_mAP_50,metrics/amazon_truck_mAP_50,metrics/usps_truck_mAP_50
                  58,            0.021425,           0.0074537,           0.0080191,             0.49013,             0.64819,             0.54692,             0.34762,            0.015733,           0.0047762,           0.0062633,           0.0029565,           0.0029565,           0.0029565,             0.51085,             0.58645,             0.32119,             0.03628,             0.32806,              0.4961,             0.26439,             0.23762
                  59,            0.021091,            0.007334,           0.0080344,             0.56135,             0.54997,             0.55105,             0.36213,            0.015313,           0.0047672,           0.0061372,           0.0029482,           0.0029482,           0.0029482,              0.5088,             0.59967,             0.32467,            0.038033,             0.34885,              0.5329,             0.30819,             0.23591
                  60,            0.020915,           0.0072672,           0.0077064,              0.5218,             0.60779,             0.55937,             0.36723,            0.015215,           0.0047845,           0.0061308,           0.0029397,           0.0029397,           0.0029397,             0.51286,             0.60689,             0.32468,            0.036721,             0.36903,             0.55289,             0.29898,             0.23578
                  61,            0.021363,           0.0073041,           0.0077676,             0.51512,             0.63089,             0.56648,             0.34775,            0.015992,           0.0047441,           0.0061063,           0.0029311,           0.0029311,           0.0029311,             0.50919,             0.55595,             0.33043,            0.037551,             0.31139,             0.53039,             0.27412,             0.23299
                  62,            0.020409,           0.0071072,           0.0072684,             0.57651,             0.56948,             0.56737,             0.35991,            0.015468,           0.0047367,           0.0059705,           0.0029224,           0.0029224,           0.0029224,             0.51627,             0.61676,             0.34533,            0.034754,             0.36538,             0.48216,             0.30066,               0.218
                  63,            0.020799,           0.0072331,            0.007446,             0.53524,              0.6298,             0.57717,             0.38569,             0.01515,           0.0047318,           0.0059691,           0.0029135,           0.0029135,           0.0029135,             0.53908,             0.59615,             0.38857,            0.038519,             0.36415,             0.58075,             0.34501,             0.23327
                  64,            0.020412,           0.0073252,            0.007301,             0.58208,             0.57935,             0.57806,             0.38798,            0.015046,           0.0047262,           0.0058541,           0.0029045,           0.0029045,           0.0029045,             0.53574,             0.61904,             0.37673,            0.032772,             0.36728,             0.58243,             0.36096,             0.22888
                  65,            0.020043,           0.0068253,           0.0071975,             0.56562,             0.59994,             0.58975,             0.38769,             0.01534,           0.0047424,            0.005789,           0.0028954,           0.0028954,           0.0028954,             0.53649,              0.5981,              0.4003,            0.038165,              0.3454,             0.56646,              0.3709,             0.24568
                  66,            0.020292,           0.0071422,           0.0071684,               0.574,             0.60467,             0.59234,             0.36925,            0.015379,           0.0047199,            0.005767,           0.0028862,           0.0028862,           0.0028862,             0.53382,             0.61369,             0.36261,             0.03622,             0.28276,             0.53474,             0.34736,             0.24282
                  67,            0.019749,           0.0071517,           0.0070521,             0.56503,             0.62358,             0.59314,             0.38222,            0.015417,           0.0047253,           0.0056997,           0.0028769,           0.0028769,           0.0028769,             0.53995,              0.6132,             0.37964,            0.034798,             0.37607,             0.48235,             0.36953,             0.26219
                  68,             0.02014,           0.0074142,           0.0069884,             0.60878,              0.5877,             0.60185,             0.40826,            0.015127,           0.0046903,           0.0055715,           0.0028674,           0.0028674,           0.0028674,             0.54633,              0.5976,              0.3931,            0.038391,             0.39461,              0.6057,             0.42614,             0.26419
                  69,            0.019695,            0.007172,           0.0068773,              0.5589,             0.62448,              0.5993,             0.40683,            0.015012,           0.0046918,           0.0055655,           0.0028578,           0.0028578,           0.0028578,             0.53355,             0.61474,             0.40311,            0.033186,             0.36279,             0.60825,             0.42946,             0.26952
                  70,            0.020388,            0.006973,           0.0070392,             0.59735,             0.61218,             0.60471,             0.40789,             0.01544,           0.0046791,           0.0055456,           0.0028482,           0.0028482,           0.0028482,             0.53756,             0.61044,             0.43239,             0.03541,             0.35414,             0.61684,             0.40565,             0.27066
                  71,            0.020586,           0.0069301,           0.0071839,             0.58966,             0.61082,             0.61253,             0.40836,            0.015379,           0.0046835,           0.0054488,           0.0028383,           0.0028383,           0.0028383,             0.53899,             0.62712,             0.41094,            0.036777,             0.36356,             0.58701,             0.43377,             0.26868
                  72,            0.019648,           0.0069076,           0.0067768,             0.61071,             0.60492,             0.61212,             0.41594,             0.01521,           0.0046793,            0.005398,           0.0028284,           0.0028284,           0.0028284,             0.53682,             0.61565,             0.39769,            0.033106,             0.40449,             0.63353,             0.45364,             0.25256
                  73,            0.020115,           0.0070522,           0.0068634,             0.57524,             0.64167,             0.62743,             0.42071,            0.015525,           0.0046854,           0.0053291,           0.0028184,           0.0028184,           0.0028184,             0.52602,             0.62072,             0.41514,            0.039474,             0.34589,              0.6561,             0.44287,             0.31948
